Site Name,Plugin Name,Installed Version,Threat Title,CVE,CVSS Score,Reference
test_299,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_243,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_407,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_355,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_312,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_81,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_354,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_265,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_366,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_153,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_328,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_35,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_161,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_155,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_156,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_367,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_273,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_202,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_219,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_186,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_3,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_84,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_220,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_65,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_207,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_146,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_51,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_106,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_26,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_420,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_342,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_152,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_188,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_395,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_422,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_339,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_112,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_86,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_180,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_116,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_187,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_138,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_91,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_54,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_374,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_101,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_39,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_157,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_231,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_201,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_76,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_214,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_318,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_96,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_389,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_104,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_158,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_50,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_244,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_197,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_152,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_119,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_250,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_255,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_304,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_326,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_90,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_98,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_97,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_225,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_415,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_4,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
test_56,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
wordpress_168,akismet,5.3.2,WishList Member X <= 3.25.1 - Authenticated (Subscriber+) Arbitrary File Deletion,CVE-2024-37108,8.1,['https://www.wordfence.com/threat-intel/vulnerabilities/id/217cc880-8400-4a97-a024-7b55e6ab69dd?source=api-prod']
